Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun,,,,,,
2,S2,0.297,0,0,0,0,1,subject,CL,,,,,,
2,S2,0.33,0,0,0,0,1,subject,CL,,,,,,
2,S2,0.363,0,0,0,0,1,subject,CL,,,,,,
2,S2,0.396,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.429,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.462,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.495,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.528,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.561,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.594,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.627,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.66,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.693,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.726,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.759,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.792,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.825,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.858,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.891,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.924,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.957,0,1,0,0,0,subject,CL,,,,,,
2,S2,0.99,0,1,0,0,0,subject,CL,,,,,,
2,S2,1.023,0,0,0,0,1,subject,CL,,,,,,
2,S2,1.056,0,0,0,0,1,subject,CL,,,,,,
2,S2,1.089,0,0,0,0,1,subject,CL,,,,,,
2,S2,1.122,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.155,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.188,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.221,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.254,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.287,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.32,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.353,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.386,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.419,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.452,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.485,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.518,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.551,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.584,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.617,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.65,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.683,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.716,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.749,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.782,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.815,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.848,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.881,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.914,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.947,1,0,0,0,0,subject,CL,,,,,,
2,S2,1.98,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.013,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.046,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.079,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.112,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.145,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.178,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.211,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.244,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.277,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.31,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.343,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.376,1,0,0,0,0,subject,CL,,,,,,
2,S2,2.409,1,0,0,0,0,subject,CL,,,,,,
2,S3,0,0,0,0,1,0,subject,CL,,,,,,
2,S3,0.033,0,0,0,1,0,subject,CL,,,,,,
2,S3,0.066,0,0,0,0,1,subject,CL,,,,,,
2,S3,0.099,0,0,0,0,1,subject,CL,,,,,,
2,S3,0.132,0,0,0,0,1,subject,CL,,,,,,
2,S3,0.165,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.198,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.231,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.264,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.297,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.33,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.363,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.396,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.429,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.462,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.495,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.528,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.561,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.594,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.627,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.66,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.693,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.726,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.759,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.792,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.825,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.858,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.891,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.924,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.957,0,1,0,0,0,subject,CL,,,,,,
2,S3,0.99,0,1,0,0,0,subject,CL,,,,,,
2,S3,1.023,0,1,0,0,0,subject,CL,,,,,,
2,S3,1.056,0,1,0,0,0,subject,CL,,,,,,
2,S3,1.089,0,1,0,0,0,subject,CL,,,,,,
2,S3,1.122,0,1,0,0,0,subject,CL,,,,,,
2,S3,1.155,0,0,0,0,1,subject,CL,,,,,,
2,S3,1.188,0,0,0,0,1,subject,CL,,,,,,
2,S3,1.221,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.254,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.287,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.32,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.353,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.386,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.419,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.452,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.485,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.518,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.551,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.584,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.617,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.65,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.683,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.716,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.749,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.782,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.815,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.848,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.881,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.914,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.947,1,0,0,0,0,subject,CL,,,,,,
2,S3,1.98,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.013,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.046,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.079,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.112,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.145,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.178,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.211,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.244,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.277,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.31,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.343,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.376,1,0,0,0,0,subject,CL,,,,,,
2,S3,2.409,1,0,0,0,0,subject,CL,,,,,,
2,S4,0,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.033,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.066,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.099,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.132,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.165,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.198,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.231,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.264,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.297,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.33,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.363,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.396,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.429,0,0,0,1,0,subject,CL,,,,,,
2,S4,0.462,0,0,0,0,1,subject,CL,,,,,,
2,S4,0.495,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.528,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.561,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.594,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.627,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.66,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.693,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.726,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.759,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.792,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.825,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.858,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.891,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.924,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.957,1,0,0,0,0,subject,CL,,,,,,
2,S4,0.99,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.023,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.056,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.089,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.122,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.155,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.188,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.221,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.254,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.287,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.32,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.353,0,0,0,0,1,subject,CL,,,,,,
2,S4,1.386,0,0,1,0,0,subject,CL,,,,,,
2,S4,1.419,0,0,0,0,1,subject,CL,,,,,,
2,S4,1.452,0,0,0,0,1,subject,CL,,,,,,
2,S4,1.485,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.518,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.551,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.584,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.617,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.65,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.683,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.716,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.749,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.782,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.815,0,1,0,0,0,subject,CL,,,,,,
2,S4,1.848,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.881,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.914,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.947,1,0,0,0,0,subject,CL,,,,,,
2,S4,1.98,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.013,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.046,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.079,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.112,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.145,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.178,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.211,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.244,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.277,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.31,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.343,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.376,1,0,0,0,0,subject,CL,,,,,,
2,S4,2.409,1,0,0,0,0,subject,CL,,,,,,
2,O1,0,0,0,1,0,0,object,CL,,,,,,
2,O1,0.033,0,0,0,0,1,object,CL,,,,,,
2,O1,0.066,0,0,0,0,1,object,CL,,,,,,
2,O1,0.099,0,0,0,0,1,object,CL,,,,,,
2,O1,0.132,0,0,0,0,1,object,CL,,,,,,
2,O1,0.165,0,0,0,0,1,object,CL,,,,,,
2,O1,0.198,0,0,0,0,1,object,CL,,,,,,
2,O1,0.231,0,1,0,0,0,object,CL,,,,,,
2,O1,0.264,0,1,0,0,0,object,CL,,,,,,
2,O1,0.297,0,1,0,0,0,object,CL,,,,,,
2,O1,0.33,0,1,0,0,0,object,CL,,,,,,
2,O1,0.363,0,1,0,0,0,object,CL,,,,,,
2,O1,0.396,0,1,0,0,0,object,CL,,,,,,
2,O1,0.429,0,1,0,0,0,object,CL,,,,,,
2,O1,0.462,0,1,0,0,0,object,CL,,,,,,
2,O1,0.495,0,1,0,0,0,object,CL,,,,,,
2,O1,0.528,0,1,0,0,0,object,CL,,,,,,
2,O1,0.561,0,1,0,0,0,object,CL,,,,,,
2,O1,0.594,0,1,0,0,0,object,CL,,,,,,
2,O1,0.627,0,1,0,0,0,object,CL,,,,,,
2,O1,0.66,0,1,0,0,0,object,CL,,,,,,
2,O1,0.693,0,1,0,0,0,object,CL,,,,,,
2,O1,0.726,0,1,0,0,0,object,CL,,,,,,
2,O1,0.759,0,1,0,0,0,object,CL,,,,,,
2,O1,0.792,0,1,0,0,0,object,CL,,,,,,
2,O1,0.825,0,1,0,0,0,object,CL,,,,,,
2,O1,0.858,0,1,0,0,0,object,CL,,,,,,
2,O1,0.891,0,1,0,0,0,object,CL,,,,,,
2,O1,0.924,0,1,0,0,0,object,CL,,,,,,
2,O1,0.957,0,1,0,0,0,object,CL,,,,,,
2,O1,0.99,0,1,0,0,0,object,CL,,,,,,
2,O1,1.023,0,0,0,0,1,object,CL,,,,,,
2,O1,1.056,0,0,0,0,1,object,CL,,,,,,
2,O1,1.089,1,0,0,0,0,object,CL,,,,,,
2,O1,1.122,1,0,0,0,0,object,CL,,,,,,
2,O1,1.155,1,0,0,0,0,object,CL,,,,,,
2,O1,1.188,1,0,0,0,0,object,CL,,,,,,
2,O1,1.221,1,0,0,0,0,object,CL,,,,,,
2,O1,1.254,1,0,0,0,0,object,CL,,,,,,
2,O1,1.287,1,0,0,0,0,object,CL,,,,,,
2,O1,1.32,1,0,0,0,0,object,CL,,,,,,
2,O1,1.353,1,0,0,0,0,object,CL,,,,,,
2,O1,1.386,1,0,0,0,0,object,CL,,,,,,
2,O1,1.419,1,0,0,0,0,object,CL,,,,,,
2,O1,1.452,1,0,0,0,0,object,CL,,,,,,
2,O1,1.485,1,0,0,0,0,object,CL,,,,,,
2,O1,1.518,1,0,0,0,0,object,CL,,,,,,
2,O1,1.551,1,0,0,0,0,object,CL,,,,,,
2,O1,1.584,1,0,0,0,0,object,CL,,,,,,
2,O1,1.617,1,0,0,0,0,object,CL,,,,,,
2,O1,1.65,1,0,0,0,0,object,CL,,,,,,
2,O1,1.683,1,0,0,0,0,object,CL,,,,,,
2,O1,1.716,1,0,0,0,0,object,CL,,,,,,
2,O1,1.749,1,0,0,0,0,object,CL,,,,,,
2,O1,1.782,1,0,0,0,0,object,CL,,,,,,
2,O1,1.815,1,0,0,0,0,object,CL,,,,,,
2,O1,1.848,1,0,0,0,0,object,CL,,,,,,
2,O1,1.881,1,0,0,0,0,object,CL,,,,,,
2,O1,1.914,1,0,0,0,0,object,CL,,,,,,
2,O1,1.947,1,0,0,0,0,object,CL,,,,,,
2,O1,1.98,1,0,0,0,0,object,CL,,,,,,
2,O1,2.013,1,0,0,0,0,object,CL,,,,,,
2,O1,2.046,1,0,0,0,0,object,CL,,,,,,
2,O1,2.079,1,0,0,0,0,object,CL,,,,,,
2,O1,2.112,1,0,0,0,0,object,CL,,,,,,
2,O1,2.145,1,0,0,0,0,object,CL,,,,,,
2,O1,2.178,1,0,0,0,0,object,CL,,,,,,
2,O1,2.211,1,0,0,0,0,object,CL,,,,,,
2,O1,2.244,1,0,0,0,0,object,CL,,,,,,
2,O1,2.277,1,0,0,0,0,object,CL,,,,,,
2,O1,2.31,1,0,0,0,0,object,CL,,,,,,
2,O1,2.343,1,0,0,0,0,object,CL,,,,,,
2,O1,2.376,1,0,0,0,0,object,CL,,,,,,
2,O1,2.409,1,0,0,0,0,object,CL,,,,,,
2,O2,0,0,0,0,0,1,object,CL,,,,,,
2,O2,0.033,0,0,0,0,1,object,CL,,,,,,
2,O2,0.066,0,0,0,0,1,object,CL,,,,,,
2,O2,0.099,0,0,0,0,1,object,CL,,,,,,
2,O2,0.132,0,0,0,0,1,object,CL,,,,,,
2,O2,0.165,0,0,0,0,1,object,CL,,,,,,
2,O2,0.198,0,0,0,0,1,object,CL,,,,,,
2,O2,0.231,0,0,0,0,1,object,CL,,,,,,
2,O2,0.264,0,0,0,0,1,object,CL,,,,,,
2,O2,0.297,0,0,0,0,1,object,CL,,,,,,
2,O2,0.33,0,0,0,0,1,object,CL,,,,,,
2,O2,0.363,0,0,0,0,1,object,CL,,,,,,
2,O2,0.396,0,0,0,0,1,object,CL,,,,,,
2,O2,0.429,0,0,0,0,1,object,CL,,,,,,
2,O2,0.462,0,0,0,0,1,object,CL,,,,,,
2,O2,0.495,0,0,0,0,1,object,CL,,,,,,
2,O2,0.528,0,0,0,0,1,object,CL,,,,,,
2,O2,0.561,0,0,0,0,1,object,CL,,,,,,
2,O2,0.594,0,0,0,0,1,object,CL,,,,,,
2,O2,0.627,0,0,0,0,1,object,CL,,,,,,
2,O2,0.66,1,0,0,0,0,object,CL,,,,,,
2,O2,0.693,1,0,0,0,0,object,CL,,,,,,
2,O2,0.726,1,0,0,0,0,object,CL,,,,,,
2,O2,0.759,1,0,0,0,0,object,CL,,,,,,
2,O2,0.792,1,0,0,0,0,object,CL,,,,,,
2,O2,0.825,1,0,0,0,0,object,CL,,,,,,
2,O2,0.858,1,0,0,0,0,object,CL,,,,,,
2,O2,0.891,1,0,0,0,0,object,CL,,,,,,
2,O2,0.924,1,0,0,0,0,object,CL,,,,,,
2,O2,0.957,1,0,0,0,0,object,CL,,,,,,
2,O2,0.99,1,0,0,0,0,object,CL,,,,,,
2,O2,1.023,1,0,0,0,0,object,CL,,,,,,
2,O2,1.056,1,0,0,0,0,object,CL,,,,,,
2,O2,1.089,1,0,0,0,0,object,CL,,,,,,
2,O2,1.122,1,0,0,0,0,object,CL,,,,,,
2,O2,1.155,1,0,0,0,0,object,CL,,,,,,
2,O2,1.188,1,0,0,0,0,object,CL,,,,,,
2,O2,1.221,1,0,0,0,0,object,CL,,,,,,
2,O2,1.254,1,0,0,0,0,object,CL,,,,,,
2,O2,1.287,1,0,0,0,0,object,CL,,,,,,
2,O2,1.32,1,0,0,0,0,object,CL,,,,,,
2,O2,1.353,0,0,0,0,1,object,CL,,,,,,
2,O2,1.386,0,0,0,0,1,object,CL,,,,,,
2,O2,1.419,0,0,1,0,0,object,CL,,,,,,
2,O2,1.452,0,0,1,0,0,object,CL,,,,,,
2,O2,1.485,0,0,1,0,0,object,CL,,,,,,
2,O2,1.518,0,0,1,0,0,object,CL,,,,,,
2,O2,1.551,0,0,1,0,0,object,CL,,,,,,
2,O2,1.584,0,0,1,0,0,object,CL,,,,,,
2,O2,1.617,0,0,1,0,0,object,CL,,,,,,
2,O2,1.65,0,0,1,0,0,object,CL,,,,,,
2,O2,1.683,0,0,1,0,0,object,CL,,,,,,
2,O2,1.716,0,0,1,0,0,object,CL,,,,,,
2,O2,1.749,0,0,1,0,0,object,CL,,,,,,
2,O2,1.782,0,0,1,0,0,object,CL,,,,,,
2,O2,1.815,0,0,1,0,0,object,CL,,,,,,
2,O2,1.848,0,0,1,0,0,object,CL,,,,,,
2,O2,1.881,0,0,1,0,0,object,CL,,,,,,
2,O2,1.914,0,0,1,0,0,object,CL,,,,,,
2,O2,1.947,0,0,1,0,0,object,CL,,,,,,
2,O2,1.98,0,0,1,0,0,object,CL,,,,,,
2,O2,2.013,0,0,1,0,0,object,CL,,,,,,
2,O2,2.046,0,0,1,0,0,object,CL,,,,,,
2,O2,2.079,0,0,1,0,0,object,CL,,,,,,
2,O2,2.112,0,0,1,0,0,object,CL,,,,,,
2,O2,2.145,0,0,1,0,0,object,CL,,,,,,
2,O2,2.178,0,0,1,0,0,object,CL,,,,,,
2,O2,2.211,0,0,1,0,0,object,CL,,,,,,
2,O2,2.244,0,0,1,0,0,object,CL,,,,,,
2,O2,2.277,0,0,0,0,1,object,CL,,,,,,
2,O2,2.31,1,0,0,0,0,object,CL,,,,,,
2,O2,2.343,1,0,0,0,0,object,CL,,,,,,
2,O2,2.376,1,0,0,0,0,object,CL,,,,,,
2,O2,2.409,1,0,0,0,0,object,CL,,,,,,
2,O3,0,0,0,1,0,0,object,CL,,,,,,
2,O3,0.033,0,0,1,0,0,object,CL,,,,,,
2,O3,0.066,0,0,1,0,0,object,CL,,,,,,
2,O3,0.099,0,0,1,0,0,object,CL,,,,,,
2,O3,0.132,0,0,1,0,0,object,CL,,,,,,
2,O3,0.165,0,0,1,0,0,object,CL,,,,,,
2,O3,0.198,0,0,1,0,0,object,CL,,,,,,
2,O3,0.231,1,0,0,0,0,object,CL,,,,,,
2,O3,0.264,1,0,0,0,0,object,CL,,,,,,
2,O3,0.297,1,0,0,0,0,object,CL,,,,,,
2,O3,0.33,1,0,0,0,0,object,CL,,,,,,
2,O3,0.363,1,0,0,0,0,object,CL,,,,,,
2,O3,0.396,1,0,0,0,0,object,CL,,,,,,
2,O3,0.429,1,0,0,0,0,object,CL,,,,,,
2,O3,0.462,1,0,0,0,0,object,CL,,,,,,
2,O3,0.495,1,0,0,0,0,object,CL,,,,,,
2,O3,0.528,1,0,0,0,0,object,CL,,,,,,
2,O3,0.561,1,0,0,0,0,object,CL,,,,,,
2,O3,0.594,1,0,0,0,0,object,CL,,,,,,
2,O3,0.627,1,0,0,0,0,object,CL,,,,,,
2,O3,0.66,1,0,0,0,0,object,CL,,,,,,
2,O3,0.693,1,0,0,0,0,object,CL,,,,,,
2,O3,0.726,1,0,0,0,0,object,CL,,,,,,
2,O3,0.759,1,0,0,0,0,object,CL,,,,,,
2,O3,0.792,1,0,0,0,0,object,CL,,,,,,
2,O3,0.825,1,0,0,0,0,object,CL,,,,,,
2,O3,0.858,1,0,0,0,0,object,CL,,,,,,
2,O3,0.891,1,0,0,0,0,object,CL,,,,,,
2,O3,0.924,1,0,0,0,0,object,CL,,,,,,
2,O3,0.957,0,0,1,0,0,object,CL,,,,,,
2,O3,0.99,0,0,1,0,0,object,CL,,,,,,
2,O3,1.023,0,0,1,0,0,object,CL,,,,,,
2,O3,1.056,0,0,1,0,0,object,CL,,,,,,
2,O3,1.089,0,0,1,0,0,object,CL,,,,,,
2,O3,1.122,0,0,1,0,0,object,CL,,,,,,
2,O3,1.155,0,0,1,0,0,object,CL,,,,,,
2,O3,1.188,0,0,1,0,0,object,CL,,,,,,
2,O3,1.221,0,0,1,0,0,object,CL,,,,,,
2,O3,1.254,0,0,0,0,1,object,CL,,,,,,
2,O3,1.287,0,0,0,0,1,object,CL,,,,,,
2,O3,1.32,0,1,0,0,0,object,CL,,,,,,
2,O3,1.353,0,1,0,0,0,object,CL,,,,,,
2,O3,1.386,0,1,0,0,0,object,CL,,,,,,
2,O3,1.419,0,1,0,0,0,object,CL,,,,,,
2,O3,1.452,0,1,0,0,0,object,CL,,,,,,
2,O3,1.485,0,1,0,0,0,object,CL,,,,,,
2,O3,1.518,0,1,0,0,0,object,CL,,,,,,
2,O3,1.551,0,1,0,0,0,object,CL,,,,,,
2,O3,1.584,0,1,0,0,0,object,CL,,,,,,
2,O3,1.617,0,1,0,0,0,object,CL,,,,,,
2,O3,1.65,0,1,0,0,0,object,CL,,,,,,
2,O3,1.683,0,1,0,0,0,object,CL,,,,,,
2,O3,1.716,0,1,0,0,0,object,CL,,,,,,
2,O3,1.749,0,1,0,0,0,object,CL,,,,,,
2,O3,1.782,0,1,0,0,0,object,CL,,,,,,
2,O3,1.815,0,1,0,0,0,object,CL,,,,,,
2,O3,1.848,0,1,0,0,0,object,CL,,,,,,
2,O3,1.881,0,1,0,0,0,object,CL,,,,,,
2,O3,1.914,0,1,0,0,0,object,CL,,,,,,
2,O3,1.947,0,1,0,0,0,object,CL,,,,,,
2,O3,1.98,0,1,0,0,0,object,CL,,,,,,
2,O3,2.013,0,1,0,0,0,object,CL,,,,,,
2,O3,2.046,0,1,0,0,0,object,CL,,,,,,
2,O3,2.079,0,1,0,0,0,object,CL,,,,,,
2,O3,2.112,0,1,0,0,0,object,CL,,,,,,
2,O3,2.145,0,1,0,0,0,object,CL,,,,,,
2,O3,2.178,0,1,0,0,0,object,CL,,,,,,
2,O3,2.211,0,1,0,0,0,object,CL,,,,,,
2,O3,2.244,0,1,0,0,0,object,CL,,,,,,
2,O3,2.277,0,1,0,0,0,object,CL,,,,,,
2,O3,2.31,0,1,0,0,0,object,CL,,,,,,
2,O3,2.343,0,1,0,0,0,object,CL,,,,,,
2,O3,2.376,0,1,0,0,0,object,CL,,,,,,
2,O3,2.409,0,1,0,0,0,object,CL,,,,,,
2,O4,0,0,1,0,0,0,object,CL,,,,,,
2,O4,0.033,0,1,0,0,0,object,CL,,,,,,
2,O4,0.066,0,1,0,0,0,object,CL,,,,,,
2,O4,0.099,0,1,0,0,0,object,CL,,,,,,
2,O4,0.132,0,1,0,0,0,object,CL,,,,,,
2,O4,0.165,0,1,0,0,0,object,CL,,,,,,
2,O4,0.198,0,1,0,0,0,object,CL,,,,,,
2,O4,0.231,0,1,0,0,0,object,CL,,,,,,
2,O4,0.264,0,1,0,0,0,object,CL,,,,,,
2,O4,0.297,0,1,0,0,0,object,CL,,,,,,
2,O4,0.33,0,1,0,0,0,object,CL,,,,,,
2,O4,0.363,0,1,0,0,0,object,CL,,,,,,
2,O4,0.396,0,1,0,0,0,object,CL,,,,,,
2,O4,0.429,0,1,0,0,0,object,CL,,,,,,
2,O4,0.462,0,1,0,0,0,object,CL,,,,,,
2,O4,0.495,0,1,0,0,0,object,CL,,,,,,
2,O4,0.528,0,1,0,0,0,object,CL,,,,,,
2,O4,0.561,0,1,0,0,0,object,CL,,,,,,
2,O4,0.594,0,1,0,0,0,object,CL,,,,,,
2,O4,0.627,0,1,0,0,0,object,CL,,,,,,
2,O4,0.66,0,1,0,0,0,object,CL,,,,,,
2,O4,0.693,0,1,0,0,0,object,CL,,,,,,
2,O4,0.726,0,1,0,0,0,object,CL,,,,,,
